AAA	NTGA	Anaa Airport	Anaa, Tuamotus, French Polynesia
SGA	OASN	Sheghnan Airport	Sheghnan, Afghanistan
SGC	USRR	Surgut Airport	Surgut, Russia
SGD	EKSB	Sønderborg Airport	Sønderborg, Denmark
SGE	EDGS	Airport Siegerland	Burbach, Germany
SGF	KSGF	Springfield-Branson National Airport	Springfield, Missouri, United States
SGH	KSGH	Springfield-Beckley Municipal Airport	Springfield, Ohio, United States
SGL	RPLS	Atienza Air Base|Danilo Atienza (Sangley Point) Air Base	Cavite City, Cavite, Philippines
SGN	VVTS	Tan Son Nhat International Airport	Ho Chi Minh City, Vietnam
SGR	KSGR	Sugar Land Regional Airport	Sugar Land, Texas (near Houston, Texas|Houston), United States
SGS	RPMN	Sanga-Sanga Airport	Bongao, Tawi-Tawi, Philippines
SGT	KSGT	Stuttgart Municipal Airport	Stuttgart, Arkansas, United States
SGU	KSGU	St. George Municipal Airport	St. George, Utah, United States
SGY	PAGY	Skagway Airport	Skagway, Alaska, United States
SHA	ZSSS	Shanghai Hongqiao International Airport	Shanghai, People's Republic of China|China
SHD	KSHD	Shenandoah Valley Regional Airport	Staunton, Virginia|Staunton / Waynesboro, Virginia|Waynesboro / Harrisonburg, Virginia, United States
SHE	ZYTX	Shenyang Taoxian International Airport	Shenyang, People's Republic of China|China
SHG	PAHG	Shungnak Airport	Shungnak, Alaska, United States
SHH	PASH	Shishmaref Airport	Shishmaref, Alaska, United States
SHJ	OMSJ	Sharjah International Airport	Sharjah (city)|Sharjah, United Arab Emirates
SHL	VEBI	Barapani Airport	Shillong, India
SHN	KSHN	Sanderson Field	Shelton, Washington, United States
SHO	RKND	Sokcho Airport	Sokcho, South Korea
SHR	KSHR	Sheridan County Airport	Sheridan, Wyoming, United States
SHV	KSHV	Shreveport Regional Airport	Shreveport, Louisiana, United States
SHX	PAHX	Shageluk Airport	Shageluk, Alaska, United States
SIA	ZLSN	Xiguan Airport	Xi'an, Shaanxi, People's Republic of China|China
SIC	LTCM	Sinop Airport	Sinop (Turkey)|Sinop, Turkey
SID	GVAC	Amilcar Cabral International Airport	Sal Island, Cape Verde
SIG	TJIG	Fernando Luis Ribas Dominicci Airport	San Juan, Puerto Rico|San Juan, Puerto Rico
SII	GMMF	Sania Ramel Airport	Sidi Ifni, Morocco
SIJ	BISI	Siglufjörður Airport	Siglufjörður, Iceland
SIK	KSIK	Sikeston Memorial Municipal Airport	Sikeston, Missouri, United States
SIN	WSSS	Singapore Changi Airport	Changi, Singapore
SIO	YSMI	Smithton Airport	Smithton, Tasmania, Australia
SIP	UKFF	Simferopol International Airport	Simferopol, Ukraine
SIR	LSGS	Sion Airport	Sion, Switzerland|Sion, Switzerland
SIT	PASI	Sitka Rocky Gutierrez Airport	Sitka, Alaska, United States
SIU	MNSI	Siuna Airport	Siuna, Nicaragua
SIV	KSIV	Sullivan County Airport	Sullivan, Indiana, United States
SIY	KSIY	Siskiyou County Airport	Montague, California, United States
SJC	KSJC	Norman Y. Mineta San José International Airport	San Jose, California, United States
SJD	MMSD	Los Cabos International Airport	Los Cabos, Mexico
SJE	SKSJ	Jorge Enrique González Airport	San José del Guaviare, Colombia
SJI	RPUH	San Jose Airport (Mindoro)|San Jose Airport	San Jose, Occidental Mindoro|San Jose, Occidental Mindoro, Philippines
SJJ	LQSA	Sarajevo International Airport	Sarajevo, Bosnia and Herzegovina
SJK	SBSJ	São José dos Campos Regional Airport	São José dos Campos, Brazil
SJN	KSJN	St. Johns Industrial Air Park	St. Johns, Arizona, United States
SJO	MROC	Juan Santamaría International Airport	San José, Costa Rica|San José, Costa Rica
SJP	SBSR	Prof. Eribel Manoel Reino State Airport	São José do Rio Preto, Brazil
SJT	KSJT	San Angelo Regional Airport (Mathis Field)	San Angelo, Texas, United States
SJU	TJSJ	Luis Muñoz Marín International Airport	San Juan, Puerto Rico|San Juan, Puerto Rico
SJX		Sartaneja Airport	Sarteneja, Belize
SJY	EFSI	Seinäjoki Airport	Seinäjoki, Finland
SKA	KSKA	Fairchild Air Force Base	Spokane, Washington, United States
SKB	TKPK	Robert L. Bradshaw International Airport	Basseterre, Saint Kitts and Nevis
SKE	ENSN	Skien Airport, Geiteryggen	Skien, Telemark, Norway
SKF	KSKF	Lackland Air Force Base / Kelly Field Annex	San Antonio, Texas, United States
SKG	LGTS	Makedonia Airport	Thessaloniki, Greece
SKI	DABP	Skikda Airport	Skikda, Algeria
SKK	PFSH	Shaktoolik Airport (FAA: 2C7)	Shaktoolik, Alaska, United States
SKN	ENSK	Stokmarknes Airport, Skagen	Hadsel, Nordland, Norway
SKP	LWSK	Skopje Airport	Skopje, Republic of Macedonia|Macedonia
SKS	EKSP	Skrydstrup Airport	Vojens, Denmark
SKT	OPST	Sialkot International Airport	Sialkot, Pakistan
SKV	HESC	St. Catherine International Airport	Saint Katherine city|St. Catherine, Egypt
SKW	PASW	Skwentna Airport	Skwentna, Alaska, United States
SKX	UWPS	Saransk Airport	Saransk, Russia
SKY	KSKY	Griffing Sandusky Airport	Sandusky, Ohio, United States
SKZ	OPSK	Sukkur Airport	Sukkur, Pakistan
SLA	SASA	Martín Miguel de Güemes International Airport	Salta, Salta Province, Argentina
SLB	KSLB	Storm Lake Municipal Airport	Storm Lake, Iowa, United States
SLC	KSLC	Salt Lake City International Airport	Salt Lake City, Utah, United States
SLD	LZSL	Sliač Airport	Sliač, Slovakia
SLE	KSLE	McNary Field	Salem, Oregon, United States
SLG	KSLG	Smith Field (Arkansas)|Smith Field	Siloam Springs, Arkansas, United States
SLH	NVSC	Sola Airport	Sola, Vanuatu|Sola, Vanua Lava, Torba Province, Vanuatu
SLI	FLSW	Solwezi Airport	Solwezi, Zambia
SLJ		Stellar Airpark (FAA: P19)	Chandler, Arizona, United States
SLK	KSLK	Adirondack Regional Airport	Saranac Lake, New York, United States
SLL	OOSA	Salalah Airport	Salalah, Oman
SLM	LESA	Matacán Airport	Salamanca, Spain
SLN	KSLN	Salina Municipal Airport	Salina, Kansas, United States
SLO	KSLO	Salem-Leckrone Airport	Salem, Illinois, United States
SLP	MMSP	Ponciano Arriaga International Airport	San Luis Potosí, San Luis Potosí, México
SLQ	PASL	Sleetmute Airport	Sleetmute, Alaska, United States
SLR	KSLR	Sulphur Springs Municipal Airport	Sulphur Springs, Texas, United States
SLS	LBSS	Silistra Airport	Silistra, Bulgaria
SLT	KANK	Harriet Alexander Field (FAA: ANK)	Salida, Colorado, United States
SLU	TLPC	George F. L. Charles Airport	Castries, Saint Lucia
SLV	VISM	Shimla Airport	Shimla|Simla, Himachal Pradesh, India
SLW	MMIO	Plan de Guadalupe International Airport	Saltillo, Mexico
SLZ	SBSL	Marechal Cunha Machado International Airport	São Luís, Brazil
SMA	LPAZ	Santa Maria Airport (Azores)|Santa Maria Airport	Santa Maria Island|Santa Maria, Portugal
SMD	KSMD	Smith Field (Indiana)|Smith Field	Fort Wayne, Indiana, United States
SME	KSME	Lake Cumberland Regional Airport (J.T. Wilson Field)	Somerset, Kentucky, United States
SMF	KSMF	Sacramento International Airport	Sacramento, California, United States
SMH		Sapmanga Airport	Sapmanga, Papua New Guinea
SMI	LGSM	Samos International Airport "Aristarchos of Samos"	Samos Island, Greece
SMK	PAMK	St. Michael Airport	St. Michael, Alaska, United States
SMM	WBKA	Semporna Airport	Sabah, Malaysia
SMN	KSMN	Lemhi County Airport	Salmon, Idaho, United States
SMO	KSMO	Santa Monica Municipal Airport	Santa Monica, California, United States
SMQ	WAOS	Sampit Airport	Sampit, Central Kalimantan (Borneo), Indonesia
SMR	SKSM	Simón Bolívar International Airport (Colombia)|Simón Bolívar International Airport	Santa Marta, Colombia
SMS	FMMS	Sainte Marie Airport	Île Sainte-Marie, Madagascar
SMU	PASP	Sheep Mountain Airport	Sheep Mountain, Alaska|Sheep Mountain, Alaska, United States
SMV	LSZS	Samedan Airport (Engadin Airport)	St. Moritz / Samedan, Switzerland
SMX	KSMX	Santa Maria Public Airport (Capt. G. Allan Hancock Field)	Santa Maria, California, United States
SMY	GOTS	Simenti Airport	Simenti, Senegal
SMZ	SMST	Stoelmans Eiland Airport	Stoelmans Eiland, Suriname
SNA	KSNA	John Wayne Airport (Orange County Airport)	Santa Ana, California, United States
SNB	YSNB	Snake Bay Airport	Milikapiti, Northern Territory|Milikapiti, Melville Island, Northern Territory, Australia
SNC	SESA	General Ulpiano Paez Airport	Salinas (canton seat)|Salinas, Ecuador
SNE	GVSN	Preguiça Airport	São Nicolau, Cape Verde|São Nicolau, Cape Verde
SNH	YSPE	Stanthorpe Airport	Stanthorpe, Queensland, Australia
SNI	GLGE	Greenville/Sinoe Airport	Greenville, Liberia|Greenville, Liberia
SNK	KSNK	Winston Field	Snyder, Texas, United States
SNL	KSNL	Shawnee Regional Airport	Shawnee, Oklahoma, United States
SNN	EINN	Shannon International Airport	Shannon Town|Shannon (County Clare), Ireland
SNP	PASN	St. Paul Island Airport	St. Paul Island, Alaska, United States
SNR	LFRZ	Saint-Nazaire Montoir Airport	Saint-Nazaire, France
SNS	KSNS	Salinas Municipal Airport	Salinas, California, United States
SNU	MUSC	Abel Santamaría Airport	Santa Clara, Cuba|Santa Clara, Cuba
SNY	KSNY	Sidney Municipal Airport (Nebraska)|Sidney Municipal Airport (Lloyd W. Carr Field)	Sidney, Nebraska, United States
SNZ	SBSC	Santa Cruz Air Force Base	Santa Cruz, Rio de Janeiro|Santa Cruz, Rio de Janiero, Brazil
SOB	LHSM	Sármellék International Airport	Sármellék, Hungary
SOC	WARQ	Adi Soemarmo International Airport	Solo City, Indonesia
SOD	SDCO	Sorocaba Airport	Sorocaba, São Paulo (state)|São Paulo, Brazil
SOF	LBSF	Sofia Airport	Sofia, Bulgaria
SOG	ENSG	Sogndal Airport, Haukåsen	Sogndal, Norway
SOJ	ENSR	Sørkjosen Airport	Sørkjosen, Norway
SOM	SVST	San Tomé Airport	San Tomé, Venezuela|San Tomé, Venezuela
SOP	KSOP	Moore County Airport (North Carolina)|Moore County Airport	Pinehurst, North Carolina|Pinehurst / Southern Pines, North Carolina, United States
SOS	RPSN	Sayak Airport|Sayak (Siargao) Airport	Del Carmen, Surigao del Norte, Philippines
SOU	EGHI	Southampton Airport	Eastleigh (near Southampton), England, United Kingdom
SOV	PASO	Seldovia Airport	Seldovia, Alaska, United States
SOW	KSOW	Show Low Regional Airport	Show Low, Arizona, United States
SOY	EGER	Stronsay Airport	Stronsay, Scotland, United Kingdom
SPA	KSPA	Spartanburg Downtown Memorial Airport	Spartanburg, South Carolina, United States
SPB		Charlotte Amalie Harbor Seaplane Base (St. Thomas Seaplane Base) (FAA: VI22)	Charlotte Amalie, United States Virgin Islands|Charlotte Amalie, St. Thomas, U.S. Virgin Islands|Saint Thomas, U.S. Virgin Islands
SPC	GCLA	La Palma Airport	La Palma, Canary Islands, Spain
SPD	VGSD	Saidpur Airport	Saidpur, Bangladesh
SPF	KSPF	Black Hills Airport (Clyde Ice Field)	Spearfish, South Dakota, United States
SPG	KSPG	Albert Whitted Airport	St. Petersburg, Florida, United States
SPH		Sopu Airport	Sopu, Papua New Guinea
SPI	KSPI	Abraham Lincoln Capital Airport	Springfield, Illinois, United States
SPJ	LGSP	Sparti Airport	Sparti (municipality)|Sparti, Laconia, Greece
SPN	PGSN	Saipan International Airport (Francisco C. Ada) (FAA: GSN)	Saipan Island, Northern Mariana Islands
SPM	ETAD	Spangdahlem Air Base	Spangdahlem, Germany
SPR		San Pedro Airport	San Pedro Town|San Pedro, Belize
SPS	KSPS	Sheppard AFB / Wichita Falls Municipal Airport	Wichita Falls, Texas, United States
SPU	LDSP	Split Airport	Split (city)|Split, Croatia
SPW	KSPW	Spencer Municipal Airport	Spencer, Iowa, United States
SPZ	KASG	Springdale Municipal Airport (FAA: ASG)	Springdale, Arkansas, United States
SQA	KIZA	Santa Ynez Airport (FAA: IZA)	Santa Ynez, California, United States
SQI	KSQI	Whiteside County Airport (Jos. H. Bittorf Field)	Sterling, Illinois|Sterling / Rock Falls, Illinois, United States
SQL	KSQL	San Carlos Airport	San Carlos, California, United States
SQQ	EYSA	Šiauliai International Airport	Šiauliai, Lithuania
SQV		Sequim Valley Airport (FAA: W28)	Sequim, Washington, United States
SQW	EKSV	Skive Airport	Skive, Denmark
SRC	KSRC	Searcy Municipal Airport	Searcy, Arkansas, United States
SRE	SLSU	Juana Azurduy de Padilla International Airport	Sucre, Bolivia
SRG	WARS	Achmad Yani International Airport	Semarang, Indonesia
SRH	FTTA	Sarh Airport	Sarh, Chad
SRJ	SLSB	Capitán Germán Quiroga Guardia Airport	San Borja, Bolivia
SRP	ENSA	Stord Airport, Sørstokken	Stord, Hordaland, Norway
SRQ	KSRQ	Sarasota-Bradenton International Airport	Sarasota, Florida (near Bradenton, Florida|Bradenton), United States
SRT	HUSO	Soroti Airport	Soroti, Uganda
SRV		Stony River 2 Airport	Stony River, Alaska, United States
SRW	KRUQ	Rowan County Airport (FAA: RUQ)	Salisbury, North Carolina, United States
SRY	OINZ	Dasht-e Naz Airport	Sari, Iran|Sari, Iran
SRZ	SLET	El Trompillo Airport	Santa Cruz de la Sierra, Bolivia
SSA	SBSV	Deputado Luís Eduardo Magalhães International Airport	Salvador, Bahia, Brazil
SSB		Christiansted Harbor Seaplane Base (St. Croix Seaplane Base) (FAA: VI32)	Christiansted, Saint Croix, U.S. Virgin Islands
SSC	KSSC	Shaw Air Force Base	Sumter, South Carolina, United States
SSE	VASL	Solapur Airport	Solapur|Sholapur (Solapur), India
SSF	KSSF	Stinson Municipal Airport	San Antonio, Texas, United States
SSG	FGSL	Malabo International Airport (Saint Isabel Airport)	Malabo, Equatorial Guinea
SSH	HESH	Sharm el-Sheikh International Airport	Sharm el-Sheikh, Egypt
SSI	KSSI	Malcolm McKinnon Airport	Brunswick, Georgia, United States
SSJ	ENST	Sandnessjøen Airport, Stokka	Sandnessjøen, Norway
SSN	RKSM	Seoul Air Base	Seongnam, South Korea
SSQ		La Sarre Airport	La Sarre, Quebec, Canada
SSR	NVSH	Sara Airport	Sara, Vanuatu|Sara, Vanuatu
SSV		Siasi Airport	Siasi, Sulu Province|Sulu, Philippines
SSX	LTAQ	Samsun Samair Airport	Samsun, Turkey
SSZ	SBST	Santos Air Base	Santos (São Paulo)|Santos, Brazil
STA	EKVJ	Stauning Vestjylland Airport	Skjern, Denmark
STB	SVSZ	Miguel Urdaneta Fernández Airport	Santa Bárbara del Zulia, Venezuela
STC	KSTC	St. Cloud Regional Airport	St. Cloud, Minnesota, United States
STD	SVSO	Mayor Buenaventura Vivas Airport	Santo Domingo (near San Cristóbal, Táchira), Venezuela
STE	KSTE	Stevens Point Municipal Airport	Stevens Point, Wisconsin, United States
STF		Stephen Island Airport	Stephen Island, Queensland, Australia
STG	PAPB	St. George Airport (Alaska)|St. George Airport (FAA: PBV)	St. George, Alaska, United States
STI	MDST	Cibao International Airport	Santiago de los Caballeros|Santiago, Dominican Republic
STJ	KSTJ	Rosecrans Memorial Airport	St. Joseph, Missouri, United States
STK	KSTK	Sterling Municipal Airport	Sterling, Colorado, United States
STL	KSTL	Lambert-Saint Louis International Airport	St. Louis, Missouri, United States
STM	SBSN	Santarém-Maestro Wilson Fonseca Airport	Santarém, Pará, Brazil
STN	EGSS	London Stansted Airport	Essex, England|Essex (near London), England, United Kingdom
STO		All Airports	Stockholm, Sweden
STP	KSTP	St. Paul Downtown Airport (Holman Field)	St. Paul, Minnesota, United States
STQ	KOYM	St. Marys Municipal Airport (FAA: OYM)	St. Marys, Pennsylvania, United States
STR	EDDS	Echterdingen Airport	Stuttgart, Germany
STS	KSTS	Charles M. Schulz Sonoma County Airport	Santa Rosa, California, United States
STT	TIST	Cyril E. King Airport	Charlotte Amalie, U.S. Virgin Islands|Charlotte Amalie, Saint Thomas, United States Virgin Islands|Saint Thomas, United States Virgin Islands
STV		Surat Airport	Surat, Gujarat, India
STW	URMT	Stavropol Shpakovskoye Airport	Stavropol, Russia
STX	TISX	Henry E. Rohlsen Airport	Christiansted, U.S. Virgin Islands|Christiansted, Saint Croix, United States Virgin Islands
SUA	KSUA	Witham Field	Stuart, Florida, United States
SUB	WARR	Juanda International Airport	Surabaya, Indonesia
SUD	KSUD	Stroud Municipal Airport	Stroud, Oklahoma, United States
SUE	KSUE	Door County Cherryland Airport	Sturgeon Bay, Wisconsin, United States
SUF	LICA	Lamezia Terme International Airport	Lamezia Terme, Italy
SUG	RPMS	Surigao Airport	Surigao City, Surigao del Norte, Philippines
SUI	UGSS	Sukhumi Dranda Airport	Sukhumi, Georgia (country)|Georgia
SUJ	LRSM	Satu Mare International Airport	Satu Mare, Romania
SUM	KSMS	Sumter Airport (FAA: SMS)	Sumter, South Carolina, United States
SUN	KSUN	Friedman Memorial Airport	Hailey, Idaho, United States
SUO		Sunriver Airport (FAA: S21)	Sunriver, Oregon, United States
SUS	KSUS	Spirit of St. Louis Airport	Chesterfield, Missouri, United States
SUT	HTSU	Sumbawanga Airport	Sumbawanga, Tanzania
SUU	KSUU	Travis Air Force Base	Fairfield, California, United States
SUV	NFNA	Nausori International Airport	Suva / Nausori, Viti Levu, Fiji
SUW	KSUW	Richard I. Bong Airport	Superior, Wisconsin, United States
SUX	KSUX	Sioux Gateway Airport (Colonel Bud Day Field)	Sioux City, Iowa, United States
SVA	PASA	Savoonga Airport	Savoonga, Alaska, United States
SVC	KSVC	Grant County Airport (New Mexico)|Grant County Airport	Silver City, New Mexico, United States
SVD	TVSV	E.T. Joshua Airport	Arnos Vale, Saint Vincent and the Grenadines|Arno Vale (near Kingstown), Saint Vincent (island)|Saint Vincent
SVE	KSVE	Susanville Municipal Airport	Susanville, California, United States
SVF	DBBS	Savé Airport	Savé, Benin
SVG	ENZV	Stavanger Airport, Sola	Stavanger, Norway
SVH	KSVH	Statesville Regional Airport	Statesville, North Carolina, United States
SVJ	ENSH	Svolvær Airport, Helle	Svolvær, Norway
SVN	KSVN	Hunter Army Airfield	Savannah, Georgia, United States
SVO	UUEE	Sheremetyevo International Airport	Moscow, Russia
SVQ	LEZL	San Pablo Airport	Seville, Spain
SVS		Stevens Village Airport	Stevens Village, Alaska, United States
SVW	PASV	Sparrevohn LRRS Airport	Sparrevohn, Alaska|Sparrevohn, Alaska, United States
SVX	USSS	Koltsovo International Airport	Yekaterinburg, Russia
SVZ	SVSA	Juan Vicente Gómez International Airport	San Antonio del Táchira, Venezuela
SWA	ZGOW	Waisha Airport (Shantou Airport)	Shantou, Guangdong, People's Republic of China|China
SWD	PAWD	Seward Airport	Seward, Alaska, United States
SWF	KSWF	Stewart International Airport	Newburgh, New York, United States
SWI		Swindon Airport	Swindon, England, United Kingdom
SWN	OPSW	Sahiwal Airport	Sahiwal, Pakistan
SWO	KSWO	Stillwater Regional Airport	Stillwater, Oklahoma, United States
SWS	EGFH	Swansea Airport	Swansea, Wales, United Kingdom
SWT	UNSS	Strezhovoy Airport	Strezhovoy, Russia
SWW	KSWW	Avenger Field	Sweetwater, Texas, United States
SWY	WMBA	Sitiawan Airport	Perak, Malaysia
SXB	LFST	Strasbourg Entzheim International Airport	Strasbourg, France
SXF	EDDB	Berlin-Schönefeld International Airport	Berlin, Germany
SXL	EISG	Sligo Airport	Strandhill (near Sligo Town|Sligo), Ireland
SXM	TNCM	Princess Juliana International Airport	Philipsburg, Netherlands Antilles|Philipsburg, Sint Maarten, Netherlands Antilles
SXP		Sheldon Point Airport	Sheldon Point, Alaska, United States
SXQ	PASX	Soldotna Airport	Soldotna, Alaska, United States
SXR	VISR	Srinagar Airport|Sheikh Ul Alam International Airport	Srinagar, India
SXV	VOSM	Salem Airport (India)|Salem Airport	Salem, India
SXY		Sidney Municipal Airport (FAA: N23)	Sidney, New York, United States
SXZ	LTCL	Siirt Airport	Siirt, Turkey
SYA	PASY	Eareckson Air Station	Shemya, Alaska, United States
SYD	YSSY	Sydney Airport	Mascot, New South Wales|Mascot (near Sydney), Australia
SYF		Silva Bay Seaplane Base	Gabriola Island, British Columbia, Canada
SYI	KSYI	Shelbyville Municipal Airport (Tennessee)|Shelbyville Municipal Airport (Bomar Field)	Shelbyville, Tennessee, United States
SYL	KSYL	Roberts Army Heliport	Camp Roberts, San Luis Obispo County, California, United States
SYN	KSYN	Stanton Airfield	Stanton, Minnesota, United States
SYO	RJSY	Shonai Airport	Yamagata_Prefecture|Yamagata, Japan
SYP	MPSA	Ruben Cantu Airport	Santiago de Veraguas, Panama
SYQ	MRPV	Tobías Bolaños International Airport	San José, Costa Rica|San José, Costa Rica
SYR	KSYR	Syracuse Hancock International Airport	Mattydale, New York|Mattydale (near Syracuse, New York|Syracuse), New York, United States
